High Shoals Hydro (NC) net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,305
Dec-21,0
Nov-21,31
Oct-21,36
Sep-21,0
Aug-21,82
Jul-21,466
Jun-21,573
May-21,806
Apr-21,796
Mar-21,556
Feb-21,504
Jan-21,558
Dec-20,375
Nov-20,423
Oct-20,504
Sep-20,414
Aug-20,520
Jul-20,409
Jun-20,529
May-20,582
Apr-20,648
Mar-20,690
Feb-20,367
Jan-20,414
Dec-19,401.94
Nov-19,448.47
Oct-19,231.66
Sep-19,81.18
Aug-19,360
Jul-19,480.15
Jun-19,403
May-19,732
Apr-19,824
Mar-19,959
Feb-19,637
Jan-19,823
Dec-18,433
Nov-18,163
Oct-18,0
Sep-18,0
Aug-18,0
Jul-18,123
Jun-18,568
May-18,652
Apr-18,529
Mar-18,683
Feb-18,468
Jan-18,241
Dec-17,128
Nov-17,152
Oct-17,171
Sep-17,97
Aug-17,45
Jul-17,146
Jun-17,302
May-17,590
Apr-17,462
Mar-17,209
Feb-17,209
Jan-17,336
Dec-16,129.141
Nov-16,106.573
Oct-16,239.654
Sep-16,165.375
Aug-16,250.897
Jul-16,202.888
Jun-16,184.464
May-16,258.765
Apr-16,176.968
Mar-16,421.359
Feb-16,615.087
Jan-16,801.829
Dec-15,622.433
Nov-15,533.364
Oct-15,421.07
Sep-15,198.981
Aug-15,202.341
Jul-15,230.778
Jun-15,206.577
May-15,191.139
Apr-15,319.507
Mar-15,282.265
Feb-15,246.931
Jan-15,341.614
Dec-14,1128.838
Nov-14,1066.891
Oct-14,1312.424
Sep-14,1232.813
Aug-14,1337.155
Jul-14,999.525
Jun-14,1317.215
May-14,1226.235
Apr-14,1277.154
Mar-14,1483.466
Feb-14,1874.431
Jan-14,2912.853
Dec-13,600.793
Nov-13,300.231
Oct-13,358.614
Sep-13,349.228
Aug-13,433.942
Jul-13,760.312
Jun-13,528.05
May-13,624.692
Apr-13,387.797
Mar-13,465.278
Feb-13,688.012
Jan-13,586.051
Dec-12,138.859
Nov-12,195.67
Oct-12,218.456
Sep-12,176.156
Aug-12,176.233
Jul-12,138.832
Jun-12,163.689
May-12,200.786
Apr-12,162.442
Mar-12,193.408
Feb-12,210.722
Jan-12,341.747
Dec-11,489.431
Nov-11,247.472
Oct-11,213.225
Sep-11,210.96
Aug-11,227.094
Jul-11,221.013
Jun-11,257.479
May-11,247.079
Apr-11,390.162
Mar-11,447.374
Feb-11,234.257
Jan-11,276.454
Dec-10,495.468
Nov-10,349.624
Oct-10,324.535
Sep-10,329.994
Aug-10,341.834
Jul-10,252.303
Jun-10,385.628
May-10,390.812
Apr-10,398.974
Mar-10,617.816
Feb-10,874.455
Jan-10,823.557
Dec-09,561.874
Nov-09,570.669
Oct-09,392.713
Sep-09,333.941
Aug-09,226.868
Jul-09,206.1
Jun-09,450.81
May-09,381.197
Apr-09,229.384
Mar-09,281.352
Feb-09,163.608
Jan-09,405.024
Dec-08,375.643
Nov-08,91.931
Oct-08,187.433
Sep-08,203.286
Aug-08,282.917
Jul-08,177.433
Jun-08,186.827
May-08,213.529
Apr-08,279.804
Mar-08,287.074
Feb-08,259.517
Jan-08,228.606
Dec-07,4.777
Nov-07,2.78
Oct-07,4.445
Sep-07,4.511
Aug-07,11.609
Jul-07,7.146
Jun-07,10.356
May-07,7.659
Apr-07,13.261
Mar-07,13.62
Feb-07,12.021
Jan-07,29.815
Dec-06,192.355
Nov-06,181.651
Oct-06,155.081
Sep-06,175.915
Aug-06,271.006
Jul-06,272.978
Jun-06,260.317
May-06,264.936
Apr-06,224.079
Mar-06,205.867
Feb-06,233.67
Jan-06,259.143
Dec-05,785.866
Nov-05,743.05
Oct-05,676.646
Sep-05,332.663
Aug-05,385.1
Jul-05,488.404
Jun-05,575.231
May-05,642.04
Apr-05,866.55
Mar-05,691.247
Feb-05,632.661
Jan-05,778.543
Dec-04,906.242
Nov-04,680.233
Oct-04,649.877
Sep-04,828.166
Aug-04,437.775
Jul-04,338.121
Jun-04,263.284
May-04,262.431
Apr-04,284.904
Mar-04,324.218
Feb-04,545.585
Jan-04,559.745
Dec-03,731.262
Nov-03,610.513
Oct-03,581.881
Sep-03,619.483
Aug-03,761.39
Jul-03,720.981
Jun-03,655.37
May-03,594.723
Apr-03,554.689
Mar-03,652.473
Feb-03,658.575
Jan-03,738.069
Dec-02,181.868
Nov-02,125.621
Oct-02,144.507
Sep-02,149.08
Aug-02,175.506
Jul-02,170.695
Jun-02,134.21
May-02,101.919
Apr-02,134.546
Mar-02,158.378
Feb-02,160.122
Jan-02,156.549
Dec-01,184.558
Nov-01,169.502
Oct-01,162.498
Sep-01,171.9
Aug-01,216.359
Jul-01,173.965
Jun-01,139.392
May-01,116.394
Apr-01,136.596
Mar-01,141.774
Feb-01,124.379
Jan-01,144.684
