Ware Shoals Hydro Project net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,281
Dec-21,56
Nov-21,164
Oct-21,816
Sep-21,182
Aug-21,551
Jul-21,495
Jun-21,775
May-21,844
Apr-21,1528
Mar-21,797
Feb-21,840
Jan-21,292
Dec-20,393
Nov-20,565
Oct-20,291
Sep-20,0
Aug-20,0
Jul-20,4
Jun-20,756
May-20,348
Apr-20,818
Mar-20,617
Feb-20,1857
Jan-20,2335
Dec-19,792
Nov-19,0
Oct-19,0
Sep-19,0
Aug-19,0
Jul-19,0
Jun-19,620
May-19,0
Apr-19,0
Mar-19,1382
Feb-19,2617
Jan-19,1559
Dec-18,971
Nov-18,631
Oct-18,713
Sep-18,664
Aug-18,1218
Jul-18,1373
Jun-18,2154
May-18,1715
Apr-18,1688
Mar-18,1949
Feb-18,2588
Jan-18,1184
Dec-17,409
Nov-17,363
Oct-17,457
Sep-17,113
Aug-17,94
Jul-17,272
Jun-17,453
May-17,899
Apr-17,895
Mar-17,17
Feb-17,104
Jan-17,446
Dec-16,335.12
Nov-16,302.202
Oct-16,419.593
Sep-16,386.149
Aug-16,409.454
Jul-16,458.072
Jun-16,449.211
May-16,734.51
Apr-16,628.795
Mar-16,967.392
Feb-16,1153.058
Jan-16,2568.444
Dec-15,1691.174
Nov-15,1898.62
Oct-15,948.73
Sep-15,351.313
Aug-15,420.443
Jul-15,420.847
Jun-15,428.998
May-15,532.024
Apr-15,816.164
Mar-15,666.011
Feb-15,494.86
Jan-15,753.816
Dec-14,1016.836
Nov-14,785.524
Oct-14,754.138
Sep-14,856.524
Aug-14,1166.63
Jul-14,949.342
Jun-14,912.678
May-14,1185.171
Apr-14,2125.755
Mar-14,2147.675
Feb-14,1455.134
Jan-14,3813.593
Dec-13,2588.724
Nov-13,2061.644
Oct-13,1206.533
Sep-13,1755.479
Aug-13,3713.949
Jul-13,5399.054
Jun-13,2156.964
May-13,2301.069
Apr-13,1540.62
Mar-13,1699.844
Feb-13,1786.376
Jan-13,1444.744
Dec-12,999.676
Nov-12,941.674
Oct-12,1151.717
Sep-12,1194.21
Aug-12,1329.89
Jul-12,1154.384
Jun-12,1206.895
May-12,1446.342
Apr-12,1259.876
Mar-12,1403.065
Feb-12,1178.073
Jan-12,1374.198
Dec-11,743.632
Nov-11,671.94
Oct-11,727.13
Sep-11,781.461
Aug-11,826.908
Jul-11,1038.167
Jun-11,797.51
May-11,944.876
Apr-11,1794.937
Mar-11,1359.627
Feb-11,735.306
Jan-11,1033.506
Dec-10,697.667
Nov-10,613.372
Oct-10,624.082
Sep-10,644.454
Aug-10,951.242
Jul-10,723.232
Jun-10,1171.505
May-10,1101.992
Apr-10,1129.436
Mar-10,1659.897
Feb-10,3296.313
Jan-10,3087.808
Dec-09,3291.786
Nov-09,2047.366
Oct-09,651.822
Sep-09,530.57
Aug-09,589.556
Jul-09,606.164
Jun-09,946.903
May-09,829.202
Apr-09,938.653
Mar-09,1022.032
Feb-09,454.325
Jan-09,847.771
Dec-08,598.482
Nov-08,426.256
Oct-08,437.577
Sep-08,438.983
Aug-08,387.258
Jul-08,404.599
Jun-08,436.86
May-08,491.634
Apr-08,553.584
Mar-08,465.901
Feb-08,519.164
Jan-08,436.702
Dec-07,281.729
Nov-07,259.026
Oct-07,296.195
Sep-07,342.406
Aug-07,369.06
Jul-07,389.721
Jun-07,457.234
May-07,508.477
Apr-07,434.655
Mar-07,998.595
Feb-07,647.645
Jan-07,1060.256
Dec-06,387.42
Nov-06,365.862
Oct-06,312.348
Sep-06,354.308
Aug-06,545.83
Jul-06,549.803
Jun-06,524.302
May-06,533.606
Apr-06,451.316
Mar-06,414.634
Feb-06,470.633
Jan-06,521.937
Dec-05,1783.041
Nov-05,1685.896
Oct-05,1535.233
Sep-05,754.776
Aug-05,873.748
Jul-05,1108.132
Jun-05,1305.133
May-05,1456.717
Apr-05,1966.103
Mar-05,1568.36
Feb-05,1435.436
Jan-05,1766.426
Dec-04,2578.966
Nov-04,1287.072
Oct-04,1832.648
Sep-04,1886.219
Aug-04,885.729
Jul-04,941.648
Jun-04,794.592
May-04,779.343
Apr-04,754.808
Mar-04,1219.175
Feb-04,1533.972
Jan-04,1194.358
Dec-03,1513.633
Nov-03,1274.307
Oct-03,1437.506
Sep-03,1581.489
Aug-03,1886.03
Jul-03,1888.81
Jun-03,1684.554
May-03,1563.281
Apr-03,1552.795
Mar-03,1540.519
Feb-03,1592.163
Jan-03,1826.543
Dec-02,535.61
Nov-02,664.426
Oct-02,724.87
Sep-02,907.898
Aug-02,1611.814
Jul-02,1629.68
Jun-02,1268.014
May-02,960.97
Apr-02,778.543
Mar-02,725.641
Feb-02,942.263
Jan-02,949.271
Dec-01,580.016
Nov-01,502.51
Oct-01,561.042
Sep-01,570.917
Aug-01,1210.622
Jul-01,946.404
Jun-01,776.388
May-01,499.826
Apr-01,498.551
Mar-01,489.777
Feb-01,489.264
Jan-01,679.683
