"Date","Month","Year","Power"
2014-05-01,5,2014,601.958
2014-06-01,6,2014,670.887
2014-07-01,7,2014,893.443
2014-08-01,8,2014,595.979
2014-09-01,9,2014,385.23
2014-10-01,10,2014,294.11
2014-11-01,11,2014,285.986
2014-12-01,12,2014,393.407
2015-01-01,1,2015,286.738
2015-02-01,2,2015,410.414
2015-03-01,3,2015,324.266
2015-04-01,4,2015,436.632
2015-05-01,5,2015,340.441
2015-06-01,6,2015,371.989
2015-07-01,7,2015,436.55
2015-08-01,8,2015,310.732
2015-09-01,9,2015,245.665
2015-10-01,10,2015,165.15
2015-11-01,11,2015,172.412
2015-12-01,12,2015,211.011
2016-01-01,1,2016,416.709
2016-02-01,2,2016,384.116
2016-03-01,3,2016,646.171
2016-04-01,4,2016,956.188
2016-05-01,5,2016,812.442
2016-06-01,6,2016,666.349
2016-07-01,7,2016,748.218
2016-08-01,8,2016,635.27
2016-09-01,9,2016,384.607
2016-10-01,10,2016,322.799
2016-11-01,11,2016,327.281
2016-12-01,12,2016,362.85
2017-01-01,1,2017,0
2017-02-01,2,2017,0
2017-03-01,3,2017,346
2017-04-01,4,2017,1232
2017-05-01,5,2017,1293
2017-06-01,6,2017,1054
2017-07-01,7,2017,828
2017-08-01,8,2017,642
2017-09-01,9,2017,725
2017-10-01,10,2017,783
2017-11-01,11,2017,782
2017-12-01,12,2017,199
2018-01-01,1,2018,1
2018-02-01,2,2018,519
2018-03-01,3,2018,481
2018-04-01,4,2018,527
2018-05-01,5,2018,1012
2018-06-01,6,2018,1142
2018-07-01,7,2018,710
2018-08-01,8,2018,76
2018-09-01,9,2018,0
2018-10-01,10,2018,0
2018-11-01,11,2018,658
2018-12-01,12,2018,139
2019-01-01,1,2019,0
2019-02-01,2,2019,0
2019-03-01,3,2019,427
2019-04-01,4,2019,986
2019-05-01,5,2019,1150
2019-06-01,6,2019,1148
2019-07-01,7,2019,796
2019-08-01,8,2019,661
2019-09-01,9,2019,607
2019-10-01,10,2019,617
2019-11-01,11,2019,522
2019-12-01,12,2019,637
2020-01-01,1,2020,2
2020-02-01,2,2020,0
2020-03-01,3,2020,601
2020-04-01,4,2020,689
2020-05-01,5,2020,1161
2020-06-01,6,2020,950
2020-07-01,7,2020,612
2020-08-01,8,2020,383
2020-09-01,9,2020,479
2020-10-01,10,2020,555
2020-11-01,11,2020,511
2020-12-01,12,2020,0
2021-01-01,1,2021,0
2021-02-01,2,2021,0
2021-03-01,3,2021,488
2021-04-01,4,2021,805
2021-05-01,5,2021,1115
2021-06-01,6,2021,762
2021-07-01,7,2021,268
2021-08-01,8,2021,616
2021-09-01,9,2021,566
2021-10-01,10,2021,585
2021-11-01,11,2021,619
2021-12-01,12,2021,373
2022-01-01,1,2022,0
