"Date","Month","Year","Power"
2010-01-01,1,2010,289.681
2010-02-01,2,2010,259.877
2010-03-01,3,2010,335.378
2010-04-01,4,2010,799.694
2010-05-01,5,2010,1532.132
2010-06-01,6,2010,1881.168
2010-07-01,7,2010,1725.482
2010-08-01,8,2010,1307.804
2010-09-01,9,2010,890.815
2010-10-01,10,2010,216.892
2010-11-01,11,2010,227.322
2010-12-01,12,2010,245.755
2011-01-01,1,2011,205.673
2011-02-01,2,2011,275.859
2011-03-01,3,2011,884.252
2011-04-01,4,2011,1260.654
2011-05-01,5,2011,1503.189
2011-06-01,6,2011,1350.335
2011-07-01,7,2011,1360.001
2011-08-01,8,2011,1256.457
2011-09-01,9,2011,938.308
2011-10-01,10,2011,187.544
2011-11-01,11,2011,164.898
2011-12-01,12,2011,184.83
2012-01-01,1,2012,300.199
2012-02-01,2,2012,345.465
2012-03-01,3,2012,524.27
2012-04-01,4,2012,940.606
2012-05-01,5,2012,1622.547
2012-06-01,6,2012,1741.293
2012-07-01,7,2012,1492.553
2012-08-01,8,2012,1556.532
2012-09-01,9,2012,881.545
2012-10-01,10,2012,233.472
2012-11-01,11,2012,242.923
2012-12-01,12,2012,302.595
2013-01-01,1,2013,355.98
2013-02-01,2,2013,319.231
2013-03-01,3,2013,417.583
2013-04-01,4,2013,665.146
2013-05-01,5,2013,996.877
2013-06-01,6,2013,1677.343
2013-07-01,7,2013,2016.38
2013-08-01,8,2013,1516.975
2013-09-01,9,2013,642.624
2013-10-01,10,2013,303.971
2013-11-01,11,2013,370.68
2013-12-01,12,2013,303.38
2014-01-01,1,2014,271.821
2014-02-01,2,2014,253.497
2014-03-01,3,2014,429.808
2014-04-01,4,2014,869.732
2014-05-01,5,2014,1079.899
2014-06-01,6,2014,1536.341
2014-07-01,7,2014,1897.739
2014-08-01,8,2014,1195.293
2014-09-01,9,2014,768.912
2014-10-01,10,2014,387.367
2014-11-01,11,2014,219.333
2014-12-01,12,2014,282.408
2015-01-01,1,2015,319.755
2015-02-01,2,2015,273.385
2015-03-01,3,2015,458.368
2015-04-01,4,2015,1217.298
2015-05-01,5,2015,1257.757
2015-06-01,6,2015,1303.424
2015-07-01,7,2015,1537.54
2015-08-01,8,2015,1420.667
2015-09-01,9,2015,951.36
2015-10-01,10,2015,287
2015-11-01,11,2015,426.379
2015-12-01,12,2015,455.067
2016-01-01,1,2016,360.992
2016-02-01,2,2016,271.899
2016-03-01,3,2016,336.644
2016-04-01,4,2016,664.546
2016-05-01,5,2016,1683.24
2016-06-01,6,2016,2030.195
2016-07-01,7,2016,1657.567
2016-08-01,8,2016,1209.575
2016-09-01,9,2016,583.379
2016-10-01,10,2016,217.456
2016-11-01,11,2016,275.708
2016-12-01,12,2016,292.989
2017-01-01,1,2017,0
2017-02-01,2,2017,0
2017-03-01,3,2017,0
2017-04-01,4,2017,90.09
2017-05-01,5,2017,1
2017-06-01,6,2017,1800.81
2017-07-01,7,2017,1907
2017-08-01,8,2017,1869.12
2017-09-01,9,2017,1428
2017-10-01,10,2017,537.57
2017-11-01,11,2017,0
2017-12-01,12,2017,0
2018-01-01,1,2018,0
2018-02-01,2,2018,0
2018-03-01,3,2018,0
2018-04-01,4,2018,92.07
2018-05-01,5,2018,1687.95
2018-06-01,6,2018,1642
2018-07-01,7,2018,1872
2018-08-01,8,2018,1833.48
2018-09-01,9,2018,1464.21
2018-10-01,10,2018,601
2018-11-01,11,2018,0
2018-12-01,12,2018,0
2019-01-01,1,2019,0
2019-02-01,2,2019,0
2019-03-01,3,2019,0
2019-04-01,4,2019,281
2019-05-01,5,2019,1736
2019-06-01,6,2019,1735
2019-07-01,7,2019,1853
2019-08-01,8,2019,1853
2019-09-01,9,2019,448
2019-10-01,10,2019,0
2019-11-01,11,2019,0
2019-12-01,12,2019,0
2020-01-01,1,2020,0
2020-02-01,2,2020,0
2020-03-01,3,2020,0
2020-04-01,4,2020,592
2020-05-01,5,2020,1799
2020-06-01,6,2020,1710
2020-07-01,7,2020,1789
2020-08-01,8,2020,1820
2020-09-01,9,2020,1577
2020-10-01,10,2020,848
2020-11-01,11,2020,0
2020-12-01,12,2020,0
2021-01-01,1,2021,0
2021-02-01,2,2021,0
2021-03-01,3,2021,0
2021-04-01,4,2021,375
2021-05-01,5,2021,1879
2021-06-01,6,2021,1002
2021-07-01,7,2021,1920
2021-08-01,8,2021,1758
2021-09-01,9,2021,1539
2021-10-01,10,2021,607
2021-11-01,11,2021,0
2021-12-01,12,2021,0
2022-01-01,1,2022,0
