"Date","Month","Year","Power"
2001-01-01,1,2001,144.684
2001-02-01,2,2001,124.379
2001-03-01,3,2001,141.774
2001-04-01,4,2001,136.596
2001-05-01,5,2001,116.394
2001-06-01,6,2001,139.392
2001-07-01,7,2001,173.965
2001-08-01,8,2001,216.359
2001-09-01,9,2001,171.9
2001-10-01,10,2001,162.498
2001-11-01,11,2001,169.502
2001-12-01,12,2001,184.558
2002-01-01,1,2002,156.549
2002-02-01,2,2002,160.122
2002-03-01,3,2002,158.378
2002-04-01,4,2002,134.546
2002-05-01,5,2002,101.919
2002-06-01,6,2002,134.21
2002-07-01,7,2002,170.695
2002-08-01,8,2002,175.506
2002-09-01,9,2002,149.08
2002-10-01,10,2002,144.507
2002-11-01,11,2002,125.621
2002-12-01,12,2002,181.868
2003-01-01,1,2003,738.069
2003-02-01,2,2003,658.575
2003-03-01,3,2003,652.473
2003-04-01,4,2003,554.689
2003-05-01,5,2003,594.723
2003-06-01,6,2003,655.37
2003-07-01,7,2003,720.981
2003-08-01,8,2003,761.39
2003-09-01,9,2003,619.483
2003-10-01,10,2003,581.881
2003-11-01,11,2003,610.513
2003-12-01,12,2003,731.262
2004-01-01,1,2004,559.745
2004-02-01,2,2004,545.585
2004-03-01,3,2004,324.218
2004-04-01,4,2004,284.904
2004-05-01,5,2004,262.431
2004-06-01,6,2004,263.284
2004-07-01,7,2004,338.121
2004-08-01,8,2004,437.775
2004-09-01,9,2004,828.166
2004-10-01,10,2004,649.877
2004-11-01,11,2004,680.233
2004-12-01,12,2004,906.242
2005-01-01,1,2005,778.543
2005-02-01,2,2005,632.661
2005-03-01,3,2005,691.247
2005-04-01,4,2005,866.55
2005-05-01,5,2005,642.04
2005-06-01,6,2005,575.231
2005-07-01,7,2005,488.404
2005-08-01,8,2005,385.1
2005-09-01,9,2005,332.663
2005-10-01,10,2005,676.646
2005-11-01,11,2005,743.05
2005-12-01,12,2005,785.866
2006-01-01,1,2006,259.143
2006-02-01,2,2006,233.67
2006-03-01,3,2006,205.867
2006-04-01,4,2006,224.079
2006-05-01,5,2006,264.936
2006-06-01,6,2006,260.317
2006-07-01,7,2006,272.978
2006-08-01,8,2006,271.006
2006-09-01,9,2006,175.915
2006-10-01,10,2006,155.081
2006-11-01,11,2006,181.651
2006-12-01,12,2006,192.355
2007-01-01,1,2007,29.815
2007-02-01,2,2007,12.021
2007-03-01,3,2007,13.62
2007-04-01,4,2007,13.261
2007-05-01,5,2007,7.659
2007-06-01,6,2007,10.356
2007-07-01,7,2007,7.146
2007-08-01,8,2007,11.609
2007-09-01,9,2007,4.511
2007-10-01,10,2007,4.445
2007-11-01,11,2007,2.78
2007-12-01,12,2007,4.777
2008-01-01,1,2008,228.606
2008-02-01,2,2008,259.517
2008-03-01,3,2008,287.074
2008-04-01,4,2008,279.804
2008-05-01,5,2008,213.529
2008-06-01,6,2008,186.827
2008-07-01,7,2008,177.433
2008-08-01,8,2008,282.917
2008-09-01,9,2008,203.286
2008-10-01,10,2008,187.433
2008-11-01,11,2008,91.931
2008-12-01,12,2008,375.643
