"Date","Month","Year","Power"
2001-01-01,1,2001,5378.979
2001-02-01,2,2001,4891.587
2001-03-01,3,2001,5547.383
2001-04-01,4,2001,4577.07
2001-05-01,5,2001,4790.479
2001-06-01,6,2001,4774.937
2001-07-01,7,2001,5756.113
2001-08-01,8,2001,5617.912
2001-09-01,9,2001,3864.031
2001-10-01,10,2001,5096.552
2001-11-01,11,2001,5150.641
2001-12-01,12,2001,5515.315
2002-01-01,1,2002,5706.766
2002-02-01,2,2002,4374.825
2002-03-01,3,2002,4805.465
2002-04-01,4,2002,4417.214
2002-05-01,5,2002,5070.938
2002-06-01,6,2002,5744.966
2002-07-01,7,2002,5848.318
2002-08-01,8,2002,5433.831
2002-09-01,9,2002,4779.692
2002-10-01,10,2002,4922.869
2002-11-01,11,2002,4981.972
2002-12-01,12,2002,6166.325
2003-01-01,1,2003,10299.776
2003-02-01,2,2003,8889.024
2003-03-01,3,2003,8395.419
2003-04-01,4,2003,8207.237
2003-05-01,5,2003,8628.42
2003-06-01,6,2003,9071.556
2003-07-01,7,2003,10108.424
2003-08-01,8,2003,10524.078
2003-09-01,9,2003,8608.29
2003-10-01,10,2003,8653.01
2003-11-01,11,2003,8649.903
2003-12-01,12,2003,9987.864
2004-01-01,1,2004,9534.687
2004-02-01,2,2004,6309.159
2004-03-01,3,2004,13215.333
2004-04-01,4,2004,12707.274
2004-05-01,5,2004,11842.651
2004-06-01,6,2004,7015.748
2004-07-01,7,2004,6808.939
2004-08-01,8,2004,9732.427
2004-09-01,9,2004,10928.725
2004-10-01,10,2004,7704.778
2004-11-01,11,2004,7488.109
2004-12-01,12,2004,10662.172
2005-01-01,1,2005,7052.808
2005-02-01,2,2005,6097.838
2005-03-01,3,2005,6679.928
2005-04-01,4,2005,6380.697
2005-05-01,5,2005,5771.907
2005-06-01,6,2005,6501.508
2005-07-01,7,2005,6978.566
2005-08-01,8,2005,5904.74
2005-09-01,9,2005,4885.846
2005-10-01,10,2005,4169.991
2005-11-01,11,2005,4462.719
2005-12-01,12,2005,5462.452
2006-01-01,1,2006,7336.332
2006-02-01,2,2006,6615.203
2006-03-01,3,2006,5828.088
2006-04-01,4,2006,6343.682
2006-05-01,5,2006,7500.343
2006-06-01,6,2006,7369.576
2006-07-01,7,2006,7728.008
2006-08-01,8,2006,7672.164
2006-09-01,9,2006,4980.142
2006-10-01,10,2006,4390.348
2006-11-01,11,2006,5142.548
2006-12-01,12,2006,5445.568
2007-01-01,1,2007,10867.958
2007-02-01,2,2007,3765.792
2007-03-01,3,2007,12919.086
2007-04-01,4,2007,11795.897
2007-05-01,5,2007,6895.838
2007-06-01,6,2007,2837.055
2007-07-01,7,2007,1775.788
2007-08-01,8,2007,2414.304
2007-09-01,9,2007,1319.705
2007-10-01,10,2007,2368.343
2007-11-01,11,2007,5776.874
2007-12-01,12,2007,10245.17
2008-01-01,1,2008,10218.405
2008-02-01,2,2008,12296.409
2008-03-01,3,2008,14327.892
2008-04-01,4,2008,11036.723
2008-05-01,5,2008,10119.769
2008-06-01,6,2008,3810.506
2008-07-01,7,2008,3147.373
2008-08-01,8,2008,2131.531
2008-09-01,9,2008,2081.784
2008-10-01,10,2008,2154.816
2008-11-01,11,2008,3748.412
2008-12-01,12,2008,10943.38
2009-01-01,1,2009,6598.993
2009-02-01,2,2009,6789.063
2009-03-01,3,2009,9337.315
2009-04-01,4,2009,8843.801
2009-05-01,5,2009,8112.554
2009-06-01,6,2009,7380.25
2009-07-01,7,2009,4695.2
2009-08-01,8,2009,6164.077
2009-09-01,9,2009,3129.659
2009-10-01,10,2009,5981.357
2009-11-01,11,2009,6598.123
2009-12-01,12,2009,9643.608
2010-01-01,1,2010,9972.83
2010-02-01,2,2010,6776.671
2010-03-01,3,2010,12885.499
2010-04-01,4,2010,9162.612
2010-05-01,5,2010,8214.33
2010-06-01,6,2010,4504.314
2010-07-01,7,2010,2611.847
2010-08-01,8,2010,2372.597
2010-09-01,9,2010,1552.451
2010-10-01,10,2010,8119.659
2010-11-01,11,2010,7079.911
2010-12-01,12,2010,9898.279
2011-01-01,1,2011,3783.917
2011-02-01,2,2011,6607.834
2011-03-01,3,2011,15668.336
2011-04-01,4,2011,14862.841
2011-05-01,5,2011,14465.646
2011-06-01,6,2011,7425.253
2011-07-01,7,2011,3390.511
2011-08-01,8,2011,4130.139
2011-09-01,9,2011,8586.079
2011-10-01,10,2011,12111.905
2011-11-01,11,2011,9516.194
2011-12-01,12,2011,12426.345
2012-01-01,1,2012,12066.785
2012-02-01,2,2012,9003.496
2012-03-01,3,2012,10262.78
2012-04-01,4,2012,6447.048
2012-05-01,5,2012,12007.605
2012-06-01,6,2012,7196.867
2012-07-01,7,2012,2596.835
2012-08-01,8,2012,3005.898
2012-09-01,9,2012,2888.912
2012-10-01,10,2012,4889.722
2012-11-01,11,2012,7671.552
2012-12-01,12,2012,9863.5
2013-01-01,1,2013,10082.207
2013-02-01,2,2013,9031.718
2013-03-01,3,2013,9502.066
2013-04-01,4,2013,10829.766
2013-05-01,5,2013,7656.972
2013-06-01,6,2013,7691.102
2013-07-01,7,2013,7948.379
2013-08-01,8,2013,4298.668
2013-09-01,9,2013,3385.307
2013-10-01,10,2013,4622.868
2013-11-01,11,2013,4721.97
2013-12-01,12,2013,12197.997
2014-01-01,1,2014,9232.883
2014-02-01,2,2014,4592.861
2014-03-01,3,2014,9719.317
2014-04-01,4,2014,14362.27
2014-05-01,5,2014,12400.447
2014-06-01,6,2014,7093.012
2014-07-01,7,2014,4046.909
2014-08-01,8,2014,3810.686
2014-09-01,9,2014,1918.767
