"Date","Month","Year","Power"
2001-01-01,1,2001,3525.822
2001-02-01,2,2001,3151.888
2001-03-01,3,2001,3172.184
2001-04-01,4,2001,2841.28
2001-05-01,5,2001,3526.581
2001-06-01,6,2001,3350.718
2001-07-01,7,2001,3561.053
2001-08-01,8,2001,4197.336
2001-09-01,9,2001,3650.276
2001-10-01,10,2001,3226.961
2001-11-01,11,2001,3523.006
2001-12-01,12,2001,3566.895
2002-01-01,1,2002,3799.401
2002-02-01,2,2002,3458.777
2002-03-01,3,2002,3784.105
2002-04-01,4,2002,3504.321
2002-05-01,5,2002,4004.099
2002-06-01,6,2002,3509.467
2002-07-01,7,2002,4023.164
2002-08-01,8,2002,4018.962
2002-09-01,9,2002,3749.983
2002-10-01,10,2002,3699.795
2002-11-01,11,2002,3805.235
2002-12-01,12,2002,3935.691
2003-01-01,1,2003,5549.991
2003-02-01,2,2003,3843.264
2003-03-01,3,2003,3943.636
2003-04-01,4,2003,3988.596
2003-05-01,5,2003,3632.108
2003-06-01,6,2003,3766.931
2003-07-01,7,2003,4254.717
2003-08-01,8,2003,4306.165
2003-09-01,9,2003,4019.169
2003-10-01,10,2003,4668.139
2003-11-01,11,2003,4207.697
2003-12-01,12,2003,4451.587
2004-01-01,1,2004,6583.079
2004-02-01,2,2004,6180.23
2004-03-01,3,2004,5517.771
2004-04-01,4,2004,4977.566
2004-05-01,5,2004,4275.124
2004-06-01,6,2004,3401.19
2004-07-01,7,2004,3574.194
2004-08-01,8,2004,4327.862
2004-09-01,9,2004,4875.104
2004-10-01,10,2004,4003.789
2004-11-01,11,2004,3512.941
2004-12-01,12,2004,4458.149
2005-01-01,1,2005,6364.01
2005-02-01,2,2005,5171.532
2005-03-01,3,2005,5650.427
2005-04-01,4,2005,7083.401
2005-05-01,5,2005,5248.202
2005-06-01,6,2005,4702.082
2005-07-01,7,2005,3992.337
2005-08-01,8,2005,3147.905
2005-09-01,9,2005,2719.277
2005-10-01,10,2005,5531.078
2005-11-01,11,2005,6073.879
