"Date","Month","Year","Power"
2001-01-01,1,2001,672.035
2001-02-01,2,2001,618.955
2001-03-01,3,2001,765.484
2001-04-01,4,2001,590.081
2001-05-01,5,2001,641.392
2001-06-01,6,2001,772.3
2001-07-01,7,2001,856.162
2001-08-01,8,2001,750.599
2001-09-01,9,2001,688.449
2001-10-01,10,2001,643.403
2001-11-01,11,2001,586.288
2001-12-01,12,2001,618.851
2002-01-01,1,2002,785.958
2002-02-01,2,2002,490.043
2002-03-01,3,2002,502.153
2002-04-01,4,2002,358.647
2002-05-01,5,2002,534.75
2002-06-01,6,2002,539.559
2002-07-01,7,2002,500.798
2002-08-01,8,2002,549.264
2002-09-01,9,2002,480.863
2002-10-01,10,2002,468.229
2002-11-01,11,2002,479.304
2002-12-01,12,2002,521.432
2003-01-01,1,2003,748.595
2003-02-01,2,2003,601.337
2003-03-01,3,2003,584.866
2003-04-01,4,2003,657.766
2003-05-01,5,2003,740.851
2003-06-01,6,2003,698.691
2003-07-01,7,2003,795.557
2003-08-01,8,2003,782.825
2003-09-01,9,2003,716.412
2003-10-01,10,2003,710.49
2003-11-01,11,2003,690.357
2003-12-01,12,2003,712.253
2004-01-01,1,2004,724.149
2004-02-01,2,2004,687.098
2004-03-01,3,2004,746.603
2004-04-01,4,2004,705.087
2004-05-01,5,2004,1568.896
2004-06-01,6,2004,861.319
2004-07-01,7,2004,868.918
2004-08-01,8,2004,875.831
2004-09-01,9,2004,859.945
2004-10-01,10,2004,698.174
2004-11-01,11,2004,658.204
2004-12-01,12,2004,674.776
2005-01-01,1,2005,587.898
2005-02-01,2,2005,711.406
2005-03-01,3,2005,775.148
2005-04-01,4,2005,1288.49
2005-05-01,5,2005,1839.951
2005-06-01,6,2005,1983.95
2005-07-01,7,2005,2073.511
2005-08-01,8,2005,1747.331
2005-09-01,9,2005,1060.086
2005-10-01,10,2005,612.975
2005-11-01,11,2005,527.637
2005-12-01,12,2005,475.618
2006-01-01,1,2006,830.863
2006-02-01,2,2006,728.949
2006-03-01,3,2006,783.466
2006-04-01,4,2006,945.842
2006-05-01,5,2006,1020.689
2006-06-01,6,2006,1054.227
2006-07-01,7,2006,861.436
2006-08-01,8,2006,706.339
2006-09-01,9,2006,517.816
2006-10-01,10,2006,489.722
2006-11-01,11,2006,568.237
2006-12-01,12,2006,616.415
2007-01-01,1,2007,574.458
2007-02-01,2,2007,506.151
2007-03-01,3,2007,399.781
2007-04-01,4,2007,370.278
2007-05-01,5,2007,1067.771
2007-06-01,6,2007,539.441
2007-07-01,7,2007,431.754
2007-08-01,8,2007,400.872
2007-09-01,9,2007,390.626
2007-10-01,10,2007,390.79
2007-11-01,11,2007,378.549
2007-12-01,12,2007,310.53
2008-01-01,1,2008,577.034
2008-02-01,2,2008,537.167
2008-03-01,3,2008,678.97
2008-04-01,4,2008,801.331
2008-05-01,5,2008,949.201
2008-06-01,6,2008,1193.832
2008-07-01,7,2008,1081.306
2008-08-01,8,2008,881.408
2008-09-01,9,2008,650.478
2008-10-01,10,2008,531.388
2008-11-01,11,2008,528.375
2008-12-01,12,2008,640.51
2009-01-01,1,2009,640.931
2009-02-01,2,2009,521.043
2009-03-01,3,2009,604.042
2009-04-01,4,2009,811.492
2009-05-01,5,2009,917.603
2009-06-01,6,2009,989.356
2009-07-01,7,2009,875.402
2009-08-01,8,2009,706.913
2009-09-01,9,2009,537.202
2009-10-01,10,2009,505.505
2009-11-01,11,2009,506.292
2009-12-01,12,2009,645.219
2010-01-01,1,2010,662.898
2010-02-01,2,2010,531.693
2010-03-01,3,2010,612.555
2010-04-01,4,2010,635.685
2010-05-01,5,2010,916.702
2010-06-01,6,2010,1258.431
2010-07-01,7,2010,1106.663
2010-08-01,8,2010,886.031
2010-09-01,9,2010,732.988
2010-10-01,10,2010,545.979
2010-11-01,11,2010,640.393
2010-12-01,12,2010,746.982
2011-01-01,1,2011,857.171
2011-02-01,2,2011,1001.481
2011-03-01,3,2011,1178.131
2011-04-01,4,2011,1235.791
2011-05-01,5,2011,1330.699
2011-06-01,6,2011,1454.551
2011-07-01,7,2011,1559.907
2011-08-01,8,2011,1276.077
2011-09-01,9,2011,925.778
2011-10-01,10,2011,722.221
2011-11-01,11,2011,758.48
2011-12-01,12,2011,831.713
2012-01-01,1,2012,555.884
2012-02-01,2,2012,510.011
2012-03-01,3,2012,690.056
2012-04-01,4,2012,891.791
2012-05-01,5,2012,885.603
2012-06-01,6,2012,953.58
2012-07-01,7,2012,939.148
2012-08-01,8,2012,716.637
2012-09-01,9,2012,480.413
2012-10-01,10,2012,377.566
2012-11-01,11,2012,521.056
2012-12-01,12,2012,585.255
2013-01-01,1,2013,778.015
2013-02-01,2,2013,617.227
2013-03-01,3,2013,694.542
2013-04-01,4,2013,995.64
2013-05-01,5,2013,1145.139
2013-06-01,6,2013,1199.463
2013-07-01,7,2013,1098.388
2013-08-01,8,2013,843.901
2013-09-01,9,2013,579.235
2013-10-01,10,2013,589.148
2013-11-01,11,2013,604.651
2013-12-01,12,2013,613.651
2014-01-01,1,2014,431.349
2014-02-01,2,2014,415.1
2014-03-01,3,2014,662.188
2014-04-01,4,2014,848.285
2014-05-01,5,2014,771.714
2014-06-01,6,2014,765.186
2014-07-01,7,2014,825.087
2014-08-01,8,2014,568.614
