"Date","Month","Year","Power"
2001-01-01,1,2001,1069.967
2001-02-01,2,2001,836.205
2001-03-01,3,2001,872.011
2001-04-01,4,2001,610.903
2001-05-01,5,2001,498.766
2001-06-01,6,2001,756.127
2001-07-01,7,2001,865.318
2001-08-01,8,2001,1057.491
2001-09-01,9,2001,892.071
2001-10-01,10,2001,750.601
2001-11-01,11,2001,613.31
2001-12-01,12,2001,534.229
2002-01-01,1,2002,571.831
2002-02-01,2,2002,527.07
2002-03-01,3,2002,704.239
2002-04-01,4,2002,802.586
2002-05-01,5,2002,577.891
2002-06-01,6,2002,720.653
2002-07-01,7,2002,1047.835
2002-08-01,8,2002,1070.75
2002-09-01,9,2002,883.559
2002-10-01,10,2002,701.528
2002-11-01,11,2002,583.575
2002-12-01,12,2002,912.483
2003-01-01,1,2003,2133.019
2003-02-01,2,2003,1820.585
2003-03-01,3,2003,1664.113
2003-04-01,4,2003,1445.544
2003-05-01,5,2003,1526.377
2003-06-01,6,2003,1805.588
2003-07-01,7,2003,2229.247
2003-08-01,8,2003,2367.106
2003-09-01,9,2003,1754.358
2003-10-01,10,2003,1613.798
2003-11-01,11,2003,1655.211
2003-12-01,12,2003,2178.055
2004-01-01,1,2004,1536.101
2004-02-01,2,2004,2225.085
2004-03-01,3,2004,1207.849
2004-04-01,4,2004,1806.618
2004-05-01,5,2004,1643.768
2004-06-01,6,2004,1535.165
2004-07-01,7,2004,1352.822
2004-08-01,8,2004,1773.904
2004-09-01,9,2004,1809.041
2004-10-01,10,2004,1939.305
2004-11-01,11,2004,1432.664
2004-12-01,12,2004,2365.679
2005-01-01,1,2005,1914.798
2005-02-01,2,2005,1556.006
2005-03-01,3,2005,1700.095
2005-04-01,4,2005,2131.247
2005-05-01,5,2005,1579.074
2005-06-01,6,2005,1414.758
2005-07-01,7,2005,1201.211
2005-08-01,8,2005,947.139
2005-09-01,9,2005,818.174
2005-10-01,10,2005,1664.186
2005-11-01,11,2005,1827.503
2005-12-01,12,2005,1932.809
2006-01-01,1,2006,1555.243
2006-02-01,2,2006,1402.369
2006-03-01,3,2006,1235.507
2006-04-01,4,2006,1344.809
2006-05-01,5,2006,1590.011
2006-06-01,6,2006,1562.29
2006-07-01,7,2006,1638.274
2006-08-01,8,2006,1626.436
2006-09-01,9,2006,1055.749
2006-10-01,10,2006,930.718
2006-11-01,11,2006,1090.178
2006-12-01,12,2006,1154.416
2007-01-01,1,2007,2468.31
2007-02-01,2,2007,1265.846
2007-03-01,3,2007,1285.98
2007-04-01,4,2007,1896.612
2007-05-01,5,2007,530.593
2007-06-01,6,2007,1268.856
2007-07-01,7,2007,1332.271
2007-08-01,8,2007,1266.867
2007-09-01,9,2007,1081.689
2007-10-01,10,2007,659.342
2007-11-01,11,2007,677.408
2007-12-01,12,2007,747.946
2008-01-01,1,2008,828.514
2008-02-01,2,2008,752.443
2008-03-01,3,2008,883.917
2008-04-01,4,2008,1277.538
2008-05-01,5,2008,1405.633
2008-06-01,6,2008,1095.423
2008-07-01,7,2008,1263
2008-08-01,8,2008,1167.712
2008-09-01,9,2008,1101.16
2008-10-01,10,2008,821.332
2008-11-01,11,2008,399.562
2008-12-01,12,2008,828.766
2009-01-01,1,2009,1323.813
2009-02-01,2,2009,638.584
2009-03-01,3,2009,1119.136
2009-04-01,4,2009,1138.429
2009-05-01,5,2009,1062.86
2009-06-01,6,2009,1783.549
2009-07-01,7,2009,900.291
2009-08-01,8,2009,1005.324
2009-09-01,9,2009,971.88
2009-10-01,10,2009,712.024
2009-11-01,11,2009,1530.703
2009-12-01,12,2009,2462.407
2010-01-01,1,2010,2358.932
2010-02-01,2,2010,2328.771
2010-03-01,3,2010,1831.117
2010-04-01,4,2010,1619.05
2010-05-01,5,2010,1058.979
2010-06-01,6,2010,1220.624
2010-07-01,7,2010,1051.027
2010-08-01,8,2010,1120.885
2010-09-01,9,2010,986.316
2010-10-01,10,2010,712.096
2010-11-01,11,2010,1101.284
2010-12-01,12,2010,1013.919
2011-01-01,1,2011,977.67
2011-02-01,2,2011,765.316
2011-03-01,3,2011,1500.633
2011-04-01,4,2011,1717.067
2011-05-01,5,2011,1516.638
2011-06-01,6,2011,1257.616
2011-07-01,7,2011,1027.89
2011-08-01,8,2011,1026.856
2011-09-01,9,2011,970.468
2011-10-01,10,2011,542.226
2011-11-01,11,2011,795.042
2011-12-01,12,2011,1380.578
2012-01-01,1,2012,1337.344
2012-02-01,2,2012,652.939
2012-03-01,3,2012,1314.182
2012-04-01,4,2012,1532.501
2012-05-01,5,2012,1546.192
2012-06-01,6,2012,976.883
2012-07-01,7,2012,1154.465
2012-08-01,8,2012,1179.693
2012-09-01,9,2012,994.21
2012-10-01,10,2012,664.946
2012-11-01,11,2012,765.252
2012-12-01,12,2012,519.393
2013-01-01,1,2013,1147.694
2013-02-01,2,2013,1145.285
2013-03-01,3,2013,1022.386
2013-04-01,4,2013,1436.498
2013-05-01,5,2013,1874.47
2013-06-01,6,2013,1526.165
2013-07-01,7,2013,2283.335
2013-08-01,8,2013,1132.149
2013-09-01,9,2013,727.789
2013-10-01,10,2013,489.903
2013-11-01,11,2013,533.055
2013-12-01,12,2013,1111.271
2014-01-01,1,2014,2113.71
2014-02-01,2,2014,1420.495
2014-03-01,3,2014,1322.78
2014-04-01,4,2014,1799.601
2014-05-01,5,2014,1727.314
2014-06-01,6,2014,1138.559
2014-07-01,7,2014,975.905
2014-08-01,8,2014,1084.938
2014-09-01,9,2014,921.907
2014-10-01,10,2014,845.968
2014-11-01,11,2014,632.709
2014-12-01,12,2014,1154.114
2015-01-01,1,2015,1322.947
2015-02-01,2,2015,1010.604
2015-03-01,3,2015,1349.717
2015-04-01,4,2015,1695.419
2015-05-01,5,2015,1018.999
2015-06-01,6,2015,810.259
2015-07-01,7,2015,1099.588
2015-08-01,8,2015,818.483
2015-09-01,9,2015,758.64
2015-10-01,10,2015,1740.391
2015-11-01,11,2015,675.111
2015-12-01,12,2015,2307.842
2016-01-01,1,2016,2251.607
2016-02-01,2,2016,2005.412
2016-03-01,3,2016,1620.311
2016-04-01,4,2016,1315.009
2016-05-01,5,2016,1931.956
2016-06-01,6,2016,1117.14
2016-07-01,7,2016,1238.199
2016-08-01,8,2016,1181.692
2016-09-01,9,2016,958.98
2016-10-01,10,2016,1640.727
2016-11-01,11,2016,417.166
2016-12-01,12,2016,778.801
2017-01-01,1,2017,2169
2017-02-01,2,2017,1119
2017-03-01,3,2017,1213
2017-04-01,4,2017,1319
2017-05-01,5,2017,1655
2017-06-01,6,2017,1502
2017-07-01,7,2017,994
2017-08-01,8,2017,1028
2017-09-01,9,2017,902
2017-10-01,10,2017,802
2017-11-01,11,2017,753
2017-12-01,12,2017,816
2018-01-01,1,2018,950
2018-02-01,2,2018,1247
2018-03-01,3,2018,1465
2018-04-01,4,2018,1412
2018-05-01,5,2018,1378
2018-06-01,6,2018,1136
2018-07-01,7,2018,933
2018-08-01,8,2018,1165
2018-09-01,9,2018,924
2018-10-01,10,2018,953
2018-11-01,11,2018,939
2018-12-01,12,2018,844
2019-01-01,1,2019,1181
2019-02-01,2,2019,997
2019-03-01,3,2019,1712
2019-04-01,4,2019,1530
2019-05-01,5,2019,1677
2019-06-01,6,2019,1444
2019-07-01,7,2019,1343
2019-08-01,8,2019,1291
2019-09-01,9,2019,844
2019-10-01,10,2019,1069
2019-11-01,11,2019,1075
2019-12-01,12,2019,618
2020-01-01,1,2020,886
