"Date","Month","Year","Power"
2014-04-01,4,2014,3630.401
2014-05-01,5,2014,3787.507
2014-06-01,6,2014,3160.558
2014-07-01,7,2014,2906.392
2014-08-01,8,2014,1271.524
2014-09-01,9,2014,2725.136
2014-10-01,10,2014,815.792
2014-11-01,11,2014,157.292
2014-12-01,12,2014,1506.398
2015-01-01,1,2015,2970.443
2015-02-01,2,2015,1978.623
2015-03-01,3,2015,1704.672
2015-04-01,4,2015,518.361
2015-05-01,5,2015,2056.248
2015-06-01,6,2015,3676.018
2015-07-01,7,2015,2464.64
2015-08-01,8,2015,1716.208
2015-09-01,9,2015,1787.634
2015-10-01,10,2015,1915.337
2015-11-01,11,2015,199.129
2015-12-01,12,2015,2693.687
2016-01-01,1,2016,2742.058
2016-02-01,2,2016,2601.284
2016-03-01,3,2016,2735.251
2016-04-01,4,2016,1416.364
2016-05-01,5,2016,1813.294
2016-06-01,6,2016,2711.08
2016-07-01,7,2016,2315.986
2016-08-01,8,2016,1442.552
2016-09-01,9,2016,2276.038
2016-10-01,10,2016,1515.641
2016-11-01,11,2016,77.34
2016-12-01,12,2016,1771.112
2017-01-01,1,2017,373
2017-02-01,2,2017,417
2017-03-01,3,2017,712
2017-04-01,4,2017,2204
2017-05-01,5,2017,3205
2017-06-01,6,2017,4901
2017-07-01,7,2017,5016
2017-08-01,8,2017,4446
2017-09-01,9,2017,2367
2017-10-01,10,2017,709
2017-11-01,11,2017,426
2017-12-01,12,2017,443
2018-01-01,1,2018,405
2018-02-01,2,2018,344
2018-03-01,3,2018,376
2018-04-01,4,2018,326
2018-05-01,5,2018,2122
2018-06-01,6,2018,2138
2018-07-01,7,2018,2378
2018-08-01,8,2018,861
2018-09-01,9,2018,279
2018-10-01,10,2018,341
2018-11-01,11,2018,266
2018-12-01,12,2018,306
2019-01-01,1,2019,312
2019-02-01,2,2019,283
2019-03-01,3,2019,318
2019-04-01,4,2019,629
2019-05-01,5,2019,1752
2019-06-01,6,2019,5160
2019-07-01,7,2019,5519
2019-08-01,8,2019,4826
2019-09-01,9,2019,2859
2019-10-01,10,2019,541
2019-11-01,11,2019,388
2019-12-01,12,2019,401
2020-01-01,1,2020,402
2020-02-01,2,2020,377
2020-03-01,3,2020,406
2020-04-01,4,2020,874
2020-05-01,5,2020,2582
2020-06-01,6,2020,2011
2020-07-01,7,2020,3194
2020-08-01,8,2020,2796
2020-09-01,9,2020,756
2020-10-01,10,2020,399
2020-11-01,11,2020,307
2020-12-01,12,2020,338
2021-01-01,1,2021,335
2021-02-01,2,2021,277
2021-03-01,3,2021,311
2021-04-01,4,2021,293
2021-05-01,5,2021,1329
2021-06-01,6,2021,1569
2021-07-01,7,2021,2440
2021-08-01,8,2021,3228
2021-09-01,9,2021,1212
2021-10-01,10,2021,374
2021-11-01,11,2021,369
2021-12-01,12,2021,376
2022-01-01,1,2022,379
