"Date","Month","Year","Power"
2001-01-01,1,2001,679.683
2001-02-01,2,2001,489.264
2001-03-01,3,2001,489.777
2001-04-01,4,2001,498.551
2001-05-01,5,2001,499.826
2001-06-01,6,2001,776.388
2001-07-01,7,2001,946.404
2001-08-01,8,2001,1210.622
2001-09-01,9,2001,570.917
2001-10-01,10,2001,561.042
2001-11-01,11,2001,502.51
2001-12-01,12,2001,580.016
2002-01-01,1,2002,949.271
2002-02-01,2,2002,942.263
2002-03-01,3,2002,725.641
2002-04-01,4,2002,778.543
2002-05-01,5,2002,960.97
2002-06-01,6,2002,1268.014
2002-07-01,7,2002,1629.68
2002-08-01,8,2002,1611.814
2002-09-01,9,2002,907.898
2002-10-01,10,2002,724.87
2002-11-01,11,2002,664.426
2002-12-01,12,2002,535.61
2003-01-01,1,2003,1826.543
2003-02-01,2,2003,1592.163
2003-03-01,3,2003,1540.519
2003-04-01,4,2003,1552.795
2003-05-01,5,2003,1563.281
2003-06-01,6,2003,1684.554
2003-07-01,7,2003,1888.81
2003-08-01,8,2003,1886.03
2003-09-01,9,2003,1581.489
2003-10-01,10,2003,1437.506
2003-11-01,11,2003,1274.307
2003-12-01,12,2003,1513.633
2004-01-01,1,2004,1194.358
2004-02-01,2,2004,1533.972
2004-03-01,3,2004,1219.175
2004-04-01,4,2004,754.808
2004-05-01,5,2004,779.343
2004-06-01,6,2004,794.592
2004-07-01,7,2004,941.648
2004-08-01,8,2004,885.729
2004-09-01,9,2004,1886.219
2004-10-01,10,2004,1832.648
2004-11-01,11,2004,1287.072
2004-12-01,12,2004,2578.966
2005-01-01,1,2005,1766.426
2005-02-01,2,2005,1435.436
2005-03-01,3,2005,1568.36
2005-04-01,4,2005,1966.103
2005-05-01,5,2005,1456.717
2005-06-01,6,2005,1305.133
2005-07-01,7,2005,1108.132
2005-08-01,8,2005,873.748
2005-09-01,9,2005,754.776
2005-10-01,10,2005,1535.233
2005-11-01,11,2005,1685.896
2005-12-01,12,2005,1783.041
2006-01-01,1,2006,521.937
2006-02-01,2,2006,470.633
2006-03-01,3,2006,414.634
2006-04-01,4,2006,451.316
2006-05-01,5,2006,533.606
2006-06-01,6,2006,524.302
2006-07-01,7,2006,549.803
2006-08-01,8,2006,545.83
2006-09-01,9,2006,354.308
2006-10-01,10,2006,312.348
2006-11-01,11,2006,365.862
2006-12-01,12,2006,387.42
2007-01-01,1,2007,1060.256
2007-02-01,2,2007,647.645
2007-03-01,3,2007,998.595
2007-04-01,4,2007,434.655
2007-05-01,5,2007,508.477
2007-06-01,6,2007,457.234
2007-07-01,7,2007,389.721
2007-08-01,8,2007,369.06
2007-09-01,9,2007,342.406
2007-10-01,10,2007,296.195
2007-11-01,11,2007,259.026
2007-12-01,12,2007,281.729
2008-01-01,1,2008,436.702
2008-02-01,2,2008,519.164
2008-03-01,3,2008,465.901
2008-04-01,4,2008,553.584
2008-05-01,5,2008,491.634
2008-06-01,6,2008,436.86
2008-07-01,7,2008,404.599
2008-08-01,8,2008,387.258
2008-09-01,9,2008,438.983
2008-10-01,10,2008,437.577
2008-11-01,11,2008,426.256
2008-12-01,12,2008,598.482
2009-01-01,1,2009,847.771
2009-02-01,2,2009,454.325
2009-03-01,3,2009,1022.032
2009-04-01,4,2009,938.653
2009-05-01,5,2009,829.202
2009-06-01,6,2009,946.903
2009-07-01,7,2009,606.164
2009-08-01,8,2009,589.556
2009-09-01,9,2009,530.57
2009-10-01,10,2009,651.822
2009-11-01,11,2009,2047.366
2009-12-01,12,2009,3291.786
2010-01-01,1,2010,3087.808
2010-02-01,2,2010,3296.313
2010-03-01,3,2010,1659.897
2010-04-01,4,2010,1129.436
2010-05-01,5,2010,1101.992
2010-06-01,6,2010,1171.505
2010-07-01,7,2010,723.232
2010-08-01,8,2010,951.242
2010-09-01,9,2010,644.454
2010-10-01,10,2010,624.082
2010-11-01,11,2010,613.372
2010-12-01,12,2010,697.667
2011-01-01,1,2011,1033.506
2011-02-01,2,2011,735.306
2011-03-01,3,2011,1359.627
2011-04-01,4,2011,1794.937
2011-05-01,5,2011,944.876
2011-06-01,6,2011,797.51
2011-07-01,7,2011,1038.167
2011-08-01,8,2011,826.908
2011-09-01,9,2011,781.461
2011-10-01,10,2011,727.13
2011-11-01,11,2011,671.94
2011-12-01,12,2011,743.632
2012-01-01,1,2012,1374.198
2012-02-01,2,2012,1178.073
2012-03-01,3,2012,1403.065
2012-04-01,4,2012,1259.876
2012-05-01,5,2012,1446.342
2012-06-01,6,2012,1206.895
2012-07-01,7,2012,1154.384
2012-08-01,8,2012,1329.89
2012-09-01,9,2012,1194.21
2012-10-01,10,2012,1151.717
2012-11-01,11,2012,941.674
2012-12-01,12,2012,999.676
2013-01-01,1,2013,1444.744
2013-02-01,2,2013,1786.376
2013-03-01,3,2013,1699.844
2013-04-01,4,2013,1540.62
2013-05-01,5,2013,2301.069
2013-06-01,6,2013,2156.964
2013-07-01,7,2013,5399.054
2013-08-01,8,2013,3713.949
2013-09-01,9,2013,1755.479
2013-10-01,10,2013,1206.533
2013-11-01,11,2013,2061.644
2013-12-01,12,2013,2588.724
2014-01-01,1,2014,3813.593
2014-02-01,2,2014,1455.134
2014-03-01,3,2014,2147.675
2014-04-01,4,2014,2125.755
2014-05-01,5,2014,1185.171
2014-06-01,6,2014,912.678
2014-07-01,7,2014,949.342
2014-08-01,8,2014,1166.63
2014-09-01,9,2014,856.524
2014-10-01,10,2014,754.138
2014-11-01,11,2014,785.524
2014-12-01,12,2014,1016.836
2015-01-01,1,2015,753.816
2015-02-01,2,2015,494.86
2015-03-01,3,2015,666.011
2015-04-01,4,2015,816.164
2015-05-01,5,2015,532.024
2015-06-01,6,2015,428.998
2015-07-01,7,2015,420.847
2015-08-01,8,2015,420.443
2015-09-01,9,2015,351.313
2015-10-01,10,2015,948.73
2015-11-01,11,2015,1898.62
2015-12-01,12,2015,1691.174
2016-01-01,1,2016,2568.444
2016-02-01,2,2016,1153.058
2016-03-01,3,2016,967.392
2016-04-01,4,2016,628.795
2016-05-01,5,2016,734.51
2016-06-01,6,2016,449.211
2016-07-01,7,2016,458.072
2016-08-01,8,2016,409.454
2016-09-01,9,2016,386.149
2016-10-01,10,2016,419.593
2016-11-01,11,2016,302.202
2016-12-01,12,2016,335.12
2017-01-01,1,2017,446
2017-02-01,2,2017,104
2017-03-01,3,2017,17
2017-04-01,4,2017,895
2017-05-01,5,2017,899
2017-06-01,6,2017,453
2017-07-01,7,2017,272
2017-08-01,8,2017,94
2017-09-01,9,2017,113
2017-10-01,10,2017,457
2017-11-01,11,2017,363
2017-12-01,12,2017,409
2018-01-01,1,2018,1184
2018-02-01,2,2018,2588
2018-03-01,3,2018,1949
2018-04-01,4,2018,1688
2018-05-01,5,2018,1715
2018-06-01,6,2018,2154
2018-07-01,7,2018,1373
2018-08-01,8,2018,1218
2018-09-01,9,2018,664
2018-10-01,10,2018,713
2018-11-01,11,2018,631
2018-12-01,12,2018,971
2019-01-01,1,2019,1559
2019-02-01,2,2019,2617
2019-03-01,3,2019,1382
2019-04-01,4,2019,0
2019-05-01,5,2019,0
2019-06-01,6,2019,620
2019-07-01,7,2019,0
2019-08-01,8,2019,0
2019-09-01,9,2019,0
2019-10-01,10,2019,0
2019-11-01,11,2019,0
2019-12-01,12,2019,792
2020-01-01,1,2020,2335
2020-02-01,2,2020,1857
2020-03-01,3,2020,617
2020-04-01,4,2020,818
2020-05-01,5,2020,348
2020-06-01,6,2020,756
2020-07-01,7,2020,4
2020-08-01,8,2020,0
2020-09-01,9,2020,0
2020-10-01,10,2020,291
2020-11-01,11,2020,565
2020-12-01,12,2020,393
2021-01-01,1,2021,292
2021-02-01,2,2021,840
2021-03-01,3,2021,797
2021-04-01,4,2021,1528
2021-05-01,5,2021,844
2021-06-01,6,2021,775
2021-07-01,7,2021,495
2021-08-01,8,2021,551
2021-09-01,9,2021,182
2021-10-01,10,2021,816
2021-11-01,11,2021,164
2021-12-01,12,2021,56
2022-01-01,1,2022,281
