"Year","Month","average_monthly_discharge","day","date"
2000,1,3715.48387096774,"01",2000-01-01
2000,2,3387.58620689655,"01",2000-02-01
2000,3,6516.12903225806,"01",2000-03-01
2000,4,11619.3333333333,"01",2000-04-01
2000,5,11130,"01",2000-05-01
2000,6,2817.66666666667,"01",2000-06-01
2000,7,2368.06451612903,"01",2000-07-01
2000,8,2111.93548387097,"01",2000-08-01
2000,9,2049.33333333333,"01",2000-09-01
2000,10,2051.29032258065,"01",2000-10-01
2000,11,2755.66666666667,"01",2000-11-01
2000,12,3424.83870967742,"01",2000-12-01
2001,1,2238.38709677419,"01",2001-01-01
2001,2,2325,"01",2001-02-01
2001,3,2666.12903225806,"01",2001-03-01
2001,4,9360,"01",2001-04-01
2001,5,5779.67741935484,"01",2001-05-01
2001,6,3158.33333333333,"01",2001-06-01
2001,7,2102.58064516129,"01",2001-07-01
2001,8,1691.61290322581,"01",2001-08-01
2001,9,1673.66666666667,"01",2001-09-01
2001,10,1672.25806451613,"01",2001-10-01
2001,11,1823,"01",2001-11-01
2001,12,1751.29032258065,"01",2001-12-01
2002,1,1585.48387096774,"01",2002-01-01
2002,2,1818.21428571429,"01",2002-02-01
2002,3,3016.45161290323,"01",2002-03-01
2002,4,9993,"01",2002-04-01
2002,5,5661.61290322581,"01",2002-05-01
2002,6,6867,"01",2002-06-01
2002,7,2355.16129032258,"01",2002-07-01
2002,8,1724.51612903226,"01",2002-08-01
2002,9,1602,"01",2002-09-01
2002,10,1895.16129032258,"01",2002-10-01
2002,11,2331,"01",2002-11-01
2002,12,1787.74193548387,"01",2002-12-01
2003,1,1585.16129032258,"01",2003-01-01
2003,2,1531.07142857143,"01",2003-02-01
2003,3,3367.74193548387,"01",2003-03-01
2003,4,5293,"01",2003-04-01
2003,5,4031.29032258065,"01",2003-05-01
2003,6,2722,"01",2003-06-01
2003,7,1707.74193548387,"01",2003-07-01
2003,8,2675.8064516129,"01",2003-08-01
2003,9,2491,"01",2003-09-01
2003,10,6089.67741935484,"01",2003-10-01
2003,11,6841,"01",2003-11-01
2003,12,10365.4838709677,"01",2003-12-01
2004,1,4146.45161290323,"01",2004-01-01
2004,2,3858.27586206897,"01",2004-02-01
2004,3,4062.58064516129,"01",2004-03-01
