Otis Hydro net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,2743
Dec-21,3302
Nov-21,3497
Oct-21,1969
Sep-21,1865
Aug-21,1698
Jul-21,2084
Jun-21,1779
May-21,4226
Apr-21,6109
Mar-21,4886
Feb-21,3892
Jan-21,5513
Dec-20,4979
Nov-20,3571
Oct-20,3890
Sep-20,1506
Aug-20,2359
Jul-20,4857
Jun-20,3030
May-20,6620
Apr-20,6559
Mar-20,6237
Feb-20,4785
Jan-20,5056
Dec-19,4579
Nov-19,4301
Oct-19,4162
Sep-19,2114
Aug-19,2294
Jul-19,3481
Jun-19,5409
May-19,6405
Apr-19,6416
Mar-19,6600
Feb-19,5208
Jan-19,4848
Dec-18,4500
Nov-18,4527
Oct-18,2980
Sep-18,2852
Aug-18,3262
Jul-18,2738
Jun-18,2630
May-18,5509
Apr-18,6602
Mar-18,4644
Feb-18,5295
Jan-18,5678
Dec-17,4310
Nov-17,5627
Oct-17,2605
Sep-17,2337
Aug-17,3034
Jul-17,4580
Jun-17,4777
May-17,6913
Apr-17,6324
Mar-17,5569
Feb-17,4097
Jan-17,3580
Dec-16,2621.297
Nov-16,2196.904
Oct-16,2089.827
Sep-16,2286.106
Aug-16,2256.531
Jul-16,2664.103
Jun-16,2321.129
May-16,2991.787
Apr-16,3710.498
Mar-16,3828.822
Feb-16,3633.623
Jan-16,3805.373
Dec-15,4223.573
Nov-15,3256.793
Oct-15,3533.816
Sep-15,2989.218
Aug-15,3575.205
Jul-15,3737.383
Jun-15,4847.07
May-15,4216.253
Apr-15,4461.772
Mar-15,4437.527
Feb-15,4426.108
Jan-15,5182.282
Dec-14,5042.27
Nov-14,3839.429
Oct-14,3779.055
Sep-14,3848.519
Aug-14,5043.599
Jul-14,5042.41
Jun-14,5248.914
May-14,6269.618
Apr-14,5132.535
Mar-14,3982.342
Feb-14,4554.24
Jan-14,5250.069
Dec-13,3939.725
Nov-13,3734.272
Oct-13,4046.648
Sep-13,4258.224
Aug-13,3809.786
Jul-13,5156.34
Jun-13,6311.444
May-13,5236.533
Apr-13,5014.567
Mar-13,5310.086
Feb-13,5021.757
Jan-13,5318.618
Dec-12,5345.737
Nov-12,5024.817
Oct-12,5030.762
Sep-12,4072.963
Aug-12,3977.376
Jul-12,4506.567
Jun-12,5026.4
May-12,5197.063
Apr-12,4431.597
Mar-12,5012.117
Feb-12,4767.117
Jan-12,5621.484
Dec-11,5836.923
Nov-11,4989.331
Oct-11,5683.167
Sep-11,5764.968
Aug-11,4089.368
Jul-11,4067.018
Jun-11,5005.706
May-11,6188.064
Apr-11,5823.719
Mar-11,6123.449
Feb-11,5302.079
Jan-11,5979.208
Dec-10,5727.467
Nov-10,5748.432
Oct-10,5696.684
Sep-10,4174.636
Aug-10,4186.616
Jul-10,4453.206
Jun-10,4641.244
May-10,5748.369
Apr-10,7313.632
Mar-10,6661.024
Feb-10,5822.965
Jan-10,6506.725
Dec-09,5442.023
Nov-09,3998.057
Oct-09,3525.84
Sep-09,3803.745
Aug-09,5702.662
Jul-09,5496.465
Jun-09,4494.789
May-09,5417.602
Apr-09,5609.83
Mar-09,5665.828
Feb-09,5302.962
Jan-09,5896.197
Dec-08,5208.756
Nov-08,4533.77
Oct-08,3588.555
Sep-08,4096.629
Aug-08,5109.365
Jul-08,4352.758
Jun-08,4571.228
May-08,4864.356
Apr-08,4976.586
Mar-08,5525.442
Feb-08,5088.902
Jan-08,4979.653
Dec-07,5357.962
Nov-07,4939.543
Oct-07,3643.266
Sep-07,3791.159
Aug-07,3618.759
Jul-07,3632.954
Jun-07,4739.079
May-07,6165.658
Apr-07,5241.887
Mar-07,4665.851
Feb-07,4980.53
Jan-07,5591.352
Dec-06,5838.156
Nov-06,7797.409
Oct-06,5968.67
Sep-06,4334.974
Aug-06,3893.037
Jul-06,4737.195
Jun-06,3987.831
May-06,4067.607
Apr-06,4136.79
Mar-06,4727.487
Feb-06,6185.956
Jan-06,7808.887
Dec-05,6423.871
Nov-05,6073.879
Oct-05,5531.078
Sep-05,2719.277
Aug-05,3147.905
Jul-05,3992.337
Jun-05,4702.082
May-05,5248.202
Apr-05,7083.401
Mar-05,5650.427
Feb-05,5171.532
Jan-05,6364.01
Dec-04,4458.149
Nov-04,3512.941
Oct-04,4003.789
Sep-04,4875.104
Aug-04,4327.862
Jul-04,3574.194
Jun-04,3401.19
May-04,4275.124
Apr-04,4977.566
Mar-04,5517.771
Feb-04,6180.23
Jan-04,6583.079
Dec-03,4451.587
Nov-03,4207.697
Oct-03,4668.139
Sep-03,4019.169
Aug-03,4306.165
Jul-03,4254.717
Jun-03,3766.931
May-03,3632.108
Apr-03,3988.596
Mar-03,3943.636
Feb-03,3843.264
Jan-03,5549.991
Dec-02,3935.691
Nov-02,3805.235
Oct-02,3699.795
Sep-02,3749.983
Aug-02,4018.962
Jul-02,4023.164
Jun-02,3509.467
May-02,4004.099
Apr-02,3504.321
Mar-02,3784.105
Feb-02,3458.777
Jan-02,3799.401
Dec-01,3566.895
Nov-01,3523.006
Oct-01,3226.961
Sep-01,3650.276
Aug-01,4197.336
Jul-01,3561.053
Jun-01,3350.718
May-01,3526.581
Apr-01,2841.28
Mar-01,3172.184
Feb-01,3151.888
Jan-01,3525.822
