William F Matson Generating Station net generation,
Month,All primemovers - All fuels (ALL) megawatthours
Jan-22,7505
Dec-21,5328
Nov-21,12774
Oct-21,3918
Sep-21,9928
Aug-21,3689
Jul-21,2762
Jun-21,6705
May-21,10231
Apr-21,10751
Mar-21,13210
Feb-21,6249
Jan-21,9152
Dec-20,8837
Nov-20,4560
Oct-20,1817
Sep-20,1815
Aug-20,1632
Jul-20,2140
Jun-20,3752
May-20,11547
Apr-20,14779
Mar-20,11300
Feb-20,12171
Jan-20,11714
Dec-19,6078
Nov-19,3976
Oct-19,1842
Sep-19,1955
Aug-19,2546
Jul-19,5769
Jun-19,6653
May-19,13096
Apr-19,12407
Mar-19,13751
Feb-19,13278
Jan-19,14313
Dec-18,14740
Nov-18,14721
Oct-18,13009
Sep-18,11470
Aug-18,9915
Jul-18,8940
Jun-18,13380
May-18,14111
Apr-18,13181
Mar-18,11641
Feb-18,10376
Jan-18,6369
Dec-17,4447
Nov-17,9191
Oct-17,2863
Sep-17,1795
Aug-17,5072
Jul-17,6962
Jun-17,8092
May-17,13835
Apr-17,11962
Mar-17,14294.61
Feb-17,10071
Jan-17,6734
Dec-16,7178.302
Nov-16,3310.148
Oct-16,3156.424
Sep-16,1232.656
Aug-16,2330.753
Jul-16,1529.735
Jun-16,3531.131
May-16,7782.99
Apr-16,6627.196
Mar-16,9159.687
Feb-16,11772.792
Jan-16,9496.186
Dec-15,5967.045
Nov-15,4378.003
Oct-15,2538.067
Sep-15,1211.888
Aug-15,2185.784
Jul-15,8683.397
Jun-15,6176.844
May-15,4509.313
Apr-15,12225.49
Mar-15,8418.459
Feb-15,1926.969
Jan-15,4601.741
Dec-14,8547.584
Nov-14,2494.497
Oct-14,2908.767
Sep-14,1918.767
Aug-14,3810.686
Jul-14,4046.909
Jun-14,7093.012
May-14,12400.447
Apr-14,14362.27
Mar-14,9719.317
Feb-14,4592.861
Jan-14,9232.883
Dec-13,12197.997
Nov-13,4721.97
Oct-13,4622.868
Sep-13,3385.307
Aug-13,4298.668
Jul-13,7948.379
Jun-13,7691.102
May-13,7656.972
Apr-13,10829.766
Mar-13,9502.066
Feb-13,9031.718
Jan-13,10082.207
Dec-12,9863.5
Nov-12,7671.552
Oct-12,4889.722
Sep-12,2888.912
Aug-12,3005.898
Jul-12,2596.835
Jun-12,7196.867
May-12,12007.605
Apr-12,6447.048
Mar-12,10262.78
Feb-12,9003.496
Jan-12,12066.785
Dec-11,12426.345
Nov-11,9516.194
Oct-11,12111.905
Sep-11,8586.079
Aug-11,4130.139
Jul-11,3390.511
Jun-11,7425.253
May-11,14465.646
Apr-11,14862.841
Mar-11,15668.336
Feb-11,6607.834
Jan-11,3783.917
Dec-10,9898.279
Nov-10,7079.911
Oct-10,8119.659
Sep-10,1552.451
Aug-10,2372.597
Jul-10,2611.847
Jun-10,4504.314
May-10,8214.33
Apr-10,9162.612
Mar-10,12885.499
Feb-10,6776.671
Jan-10,9972.83
Dec-09,9643.608
Nov-09,6598.123
Oct-09,5981.357
Sep-09,3129.659
Aug-09,6164.077
Jul-09,4695.2
Jun-09,7380.25
May-09,8112.554
Apr-09,8843.801
Mar-09,9337.315
Feb-09,6789.063
Jan-09,6598.993
Dec-08,10943.38
Nov-08,3748.412
Oct-08,2154.816
Sep-08,2081.784
Aug-08,2131.531
Jul-08,3147.373
Jun-08,3810.506
May-08,10119.769
Apr-08,11036.723
Mar-08,14327.892
Feb-08,12296.409
Jan-08,10218.405
Dec-07,10245.17
Nov-07,5776.874
Oct-07,2368.343
Sep-07,1319.705
Aug-07,2414.304
Jul-07,1775.788
Jun-07,2837.055
May-07,6895.838
Apr-07,11795.897
Mar-07,12919.086
Feb-07,3765.792
Jan-07,10867.958
Dec-06,5445.568
Nov-06,5142.548
Oct-06,4390.348
Sep-06,4980.142
Aug-06,7672.164
Jul-06,7728.008
Jun-06,7369.576
May-06,7500.343
Apr-06,6343.682
Mar-06,5828.088
Feb-06,6615.203
Jan-06,7336.332
Dec-05,5462.452
Nov-05,4462.719
Oct-05,4169.991
Sep-05,4885.846
Aug-05,5904.74
Jul-05,6978.566
Jun-05,6501.508
May-05,5771.907
Apr-05,6380.697
Mar-05,6679.928
Feb-05,6097.838
Jan-05,7052.808
Dec-04,10662.172
Nov-04,7488.109
Oct-04,7704.778
Sep-04,10928.725
Aug-04,9732.427
Jul-04,6808.939
Jun-04,7015.748
May-04,11842.651
Apr-04,12707.274
Mar-04,13215.333
Feb-04,6309.159
Jan-04,9534.687
Dec-03,9987.864
Nov-03,8649.903
Oct-03,8653.01
Sep-03,8608.29
Aug-03,10524.078
Jul-03,10108.424
Jun-03,9071.556
May-03,8628.42
Apr-03,8207.237
Mar-03,8395.419
Feb-03,8889.024
Jan-03,10299.776
Dec-02,6166.325
Nov-02,4981.972
Oct-02,4922.869
Sep-02,4779.692
Aug-02,5433.831
Jul-02,5848.318
Jun-02,5744.966
May-02,5070.938
Apr-02,4417.214
Mar-02,4805.465
Feb-02,4374.825
Jan-02,5706.766
Dec-01,5515.315
Nov-01,5150.641
Oct-01,5096.552
Sep-01,3864.031
Aug-01,5617.912
Jul-01,5756.113
Jun-01,4774.937
May-01,4790.479
Apr-01,4577.07
Mar-01,5547.383
Feb-01,4891.587
Jan-01,5378.979
